Country,Population,GNI per capita,Human Development Index,Human Asset Index
Afghanistan,38.9 M,500 USD,0.511,42
Albania,2.8 M,"5,210 USD",0.795,
Algeria,43.9 M,"3,570 USD",0.748,90.2
Angola,32.9 M,"2,140 USD",0.581,52
Antigua and Barbuda,0.1 M,"13,750 USD",0.778,96.4
Argentina,45.4 M,"9,070 USD",0.845,97.6
Armenia,3.0 M,"4,220 USD",0.776,94.6
Aruba,0.1 M,"27,120 USD",,
Azerbaijan,10.1 M,"4,480 USD",0.756,93
Bahamas,0.4 M,"26,070 USD",0.814,90.3
Bahrain,1.7 M,"19,900 USD",0.852,97.9
Bangladesh,164.7 M,"2,030 USD",0.632,75.3
Barbados,0.3 M,"14,350 USD",0.814,98
Belarus,9.4 M,"6,360 USD",0.823,
Belize,0.4 M,"4,110 USD",0.716,89.3
Benin,12.1 M,"1,280 USD",0.545,49.4
Bhutan,0.8 M,"2,840 USD",0.654,79.5
Bolivia,11.7 M,"3,180 USD",0.718,88.5
Bosnia and Herzegovina,3.3 M,"6,080 USD",0.78,
Botswana,2.4 M,"6,640 USD",0.735,83.1
Brazil,212.6 M,"7,850 USD",0.765,95.9
Brunei,0.4 M,"31,510 USD",0.838,93.8
Bulgaria,6.9 M,"9,630 USD",0.816,
Burkina Faso,20.9 M,770 USD,0.452,56
Burma,54.4 M,"1,350 USD",0.583,73.9
Burundi,11.9 M,230 USD,0.433,53.9
Cambodia,16.7 M,"1,500 USD",0.594,74.3
Cameroon,26.5 M,"1,520 USD",0.563,61.2
Cape Verde,0.6 M,"3,060 USD",0.665,91.2
Central African Republic,4.8 M,500 USD,0.397,27.4
Chad,16.4 M,630 USD,0.398,18.3
Chile,19.1 M,"13,470 USD",0.851,99.1
China,"1,410.9 M","10,550 USD",0.761,95.7
Colombia,50.9 M,"5,790 USD",0.767,93.9
Comoros,0.9 M,"1,400 USD",0.554,67.2
Costa Rica,5.1 M,"11,530 USD",0.81,97.3
Democratic Republic of the Congo,89.6 M,550 USD,0.48,47.9
Djibouti,1.0 M,"3,310 USD",0.524,61.9
Dominica,0.1 M,"7,270 USD",0.742,93.5
Dominican Republic,10.8 M,"7,260 USD",0.756,90.9
East Timor,1.3 M,"1,990 USD",0.606,69.5
Ecuador,17.6 M,"5,530 USD",0.759,90.3
Egypt,102.3 M,"3,000 USD",0.707,83.3
El Salvador,6.5 M,"3,630 USD",0.673,88.2
